subject
Meeting with Kofi Annan
Transport
Meeting with Bernadette Segol - General Secretary ETUC
Meeting with George Soros
Speaker at BDI (German industry federation) gala dinner
Receives CEOs of European Publisher Groups
Migration issues
Digital Single Market
Digital Single Market
Digital Single Market
"Jobs and Growth agenda, Capital Markets Union"
Climate Action and Energy Union
